Gate,X Parameter,Y Parameter,Count,%Total,%Gated
mCherry-/GFP-,YL2-A,BL1-A,1133,11.330,15.798
mCherry+/GFP-,YL2-A,BL1-A,4361,43.610,60.806
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,7172,71.720,71.720
R2,BL1-A,YL2-A,1309,13.090,79.094
R4,BL1-A,YL2-A,121,1.210,7.311
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1655,16.550,16.550
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,1309,13.090,13.090
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,1087,10.870,10.870
R3,BL1-A,YL2-A,1087,10.870,68.754
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,1581,15.810,15.810
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,121,1.210,1.210
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,7172,71.720,71.720
LG1,,,1655,16.550,16.550
GFP+,BL1-A,,4507,45.070,66.979
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6729,67.290,67.290
mCh+,YL2-A,,152,1.520,2.259
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6729,67.290,67.290
R1,FSC-H,SSC-H,6729,67.290,67.290
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,4573,45.730,67.960
mCherry+/GFP+,YL2-A,BL1-A,78,0.780,1.159
mCherry-/GFP-,YL2-A,BL1-A,1787,17.870,26.557
mCherry+/GFP-,YL2-A,BL1-A,291,2.910,4.325
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6729,67.290,67.290
R2,BL1-A,YL2-A,72,0.720,47.368
R4,BL1-A,YL2-A,28,0.280,18.421
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,152,1.520,1.520
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,72,0.720,0.720
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3608,36.080,36.080
R3,BL1-A,YL2-A,3608,36.080,80.053
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,4507,45.070,45.070
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,28,0.280,0.280
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6729,67.290,67.290
LG1,,,152,1.520,1.520
GFP+,BL1-A,,13,0.130,7.927
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,164,1.640,1.640
mCh+,YL2-A,,1,0.010,0.610
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,164,1.640,1.640
R1,FSC-H,SSC-H,164,1.640,1.640
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,15,0.150,9.146
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.610
mCherry-/GFP-,YL2-A,BL1-A,148,1.480,90.244
mCherry+/GFP-,YL2-A,BL1-A,0,0.000,0.000
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,164,1.640,1.640
R2,BL1-A,YL2-A,0,0.000,0.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1,0.010,0.010
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,11,0.110,0.110
R3,BL1-A,YL2-A,11,0.110,84.615
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,13,0.130,0.130
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,164,1.640,1.640
LG1,,,1,0.010,0.010
GFP+,BL1-A,,1,0.010,0.174
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,576,5.760,5.760
mCh+,YL2-A,,1,0.010,0.174
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,576,5.760,5.760
R1,FSC-H,SSC-H,576,5.760,5.760
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.174
mCherry-/GFP-,YL2-A,BL1-A,575,5.750,99.826
mCherry+/GFP-,YL2-A,BL1-A,0,0.000,0.000
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,576,5.760,5.760
R2,BL1-A,YL2-A,0,0.000,0.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1,0.010,0.010
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,0,0.000,0.000
R3,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,1,0.010,0.010
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,576,5.760,5.760
LG1,,,1,0.010,0.010
GFP+,BL1-A,,3105,31.050,70.043
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4433,44.330,44.330
mCh+,YL2-A,,19,0.190,0.429
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4433,44.330,44.330
R1,FSC-H,SSC-H,4433,44.330,44.330
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3162,31.620,71.329
mCherry+/GFP+,YL2-A,BL1-A,12,0.120,0.271
mCherry-/GFP-,YL2-A,BL1-A,1187,11.870,26.776
mCherry+/GFP-,YL2-A,BL1-A,72,0.720,1.624
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4433,44.330,44.330
R2,BL1-A,YL2-A,13,0.130,68.421
R4,BL1-A,YL2-A,1,0.010,5.263
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,19,0.190,0.190
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,13,0.130,0.130
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2601,26.010,26.010
R3,BL1-A,YL2-A,2601,26.010,83.768
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3105,31.050,31.050
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,1,0.010,0.010
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4433,44.330,44.330
LG1,,,19,0.190,0.190
GFP+,BL1-A,,3804,38.040,63.740
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,5968,59.680,59.680
mCh+,YL2-A,,83,0.830,1.391
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,5968,59.680,59.680
R1,FSC-H,SSC-H,5968,59.680,59.680
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3867,38.670,64.796
mCherry+/GFP+,YL2-A,BL1-A,44,0.440,0.737
mCherry-/GFP-,YL2-A,BL1-A,1862,18.620,31.200
mCherry+/GFP-,YL2-A,BL1-A,195,1.950,3.267
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,5968,59.680,59.680
R2,BL1-A,YL2-A,34,0.340,40.964
R4,BL1-A,YL2-A,17,0.170,20.482
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,83,0.830,0.830
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,34,0.340,0.340
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3061,30.610,30.610
R3,BL1-A,YL2-A,3061,30.610,80.468
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3804,38.040,38.040
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,17,0.170,0.170
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,5968,59.680,59.680
LG1,,,83,0.830,0.830
GFP+,BL1-A,,3113,31.130,64.692
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4812,48.120,48.120
mCh+,YL2-A,,119,1.190,2.473
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4812,48.120,48.120
R1,FSC-H,SSC-H,4812,48.120,48.120
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3116,31.160,64.755
mCherry+/GFP+,YL2-A,BL1-A,48,0.480,0.998
mCherry-/GFP-,YL2-A,BL1-A,1213,12.130,25.208
mCherry+/GFP-,YL2-A,BL1-A,435,4.350,9.040
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4812,48.120,48.120
R2,BL1-A,YL2-A,80,0.800,67.227
R4,BL1-A,YL2-A,12,0.120,10.084
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,119,1.190,1.190
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,80,0.800,0.800
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2512,25.120,25.120
R3,BL1-A,YL2-A,2512,25.120,80.694
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3113,31.130,31.130
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,12,0.120,0.120
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4812,48.120,48.120
LG1,,,119,1.190,1.190
GFP+,BL1-A,,922,9.220,21.879
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4214,42.140,42.140
mCh+,YL2-A,,578,5.780,13.716
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4214,42.140,42.140
R1,FSC-H,SSC-H,4214,42.140,42.140
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,886,8.860,21.025
mCherry+/GFP+,YL2-A,BL1-A,68,0.680,1.614
mCherry-/GFP-,YL2-A,BL1-A,1088,10.880,25.819
mCherry+/GFP-,YL2-A,BL1-A,2172,21.720,51.542
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4214,42.140,42.140
R2,BL1-A,YL2-A,504,5.040,87.197
R4,BL1-A,YL2-A,19,0.190,3.287
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,578,5.780,5.780
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,504,5.040,5.040
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,711,7.110,7.110
R3,BL1-A,YL2-A,711,7.110,77.115
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,922,9.220,9.220
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,19,0.190,0.190
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4214,42.140,42.140
LG1,,,578,5.780,5.780
GFP+,BL1-A,,1793,17.930,69.174
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,2592,25.920,25.920
mCh+,YL2-A,,12,0.120,0.463
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,2592,25.920,25.920
R1,FSC-H,SSC-H,2592,25.920,25.920
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,1834,18.340,70.756
mCherry+/GFP+,YL2-A,BL1-A,2,0.020,0.077
mCherry-/GFP-,YL2-A,BL1-A,708,7.080,27.315
mCherry+/GFP-,YL2-A,BL1-A,48,0.480,1.852
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,2592,25.920,25.920
R2,BL1-A,YL2-A,10,0.100,83.333
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,12,0.120,0.120
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,10,0.100,0.100
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,1503,15.030,15.030
R3,BL1-A,YL2-A,1503,15.030,83.826
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,1793,17.930,17.930
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,2592,25.920,25.920
LG1,,,12,0.120,0.120
GFP+,BL1-A,,4032,40.320,64.419
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6259,62.590,62.590
mCh+,YL2-A,,64,0.640,1.023
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6259,62.590,62.590
R1,FSC-H,SSC-H,6259,62.590,62.590
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,4081,40.810,65.202
mCherry+/GFP+,YL2-A,BL1-A,35,0.350,0.559
mCherry-/GFP-,YL2-A,BL1-A,1935,19.350,30.915
mCherry+/GFP-,YL2-A,BL1-A,208,2.080,3.323
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6259,62.590,62.590
R2,BL1-A,YL2-A,32,0.320,50.000
R4,BL1-A,YL2-A,12,0.120,18.750
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,64,0.640,0.640
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,32,0.320,0.320
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3216,32.160,32.160
R3,BL1-A,YL2-A,3216,32.160,79.762
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,4032,40.320,40.320
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,12,0.120,0.120
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6259,62.590,62.590
LG1,,,64,0.640,0.640
GFP+,BL1-A,,4458,44.580,69.277
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6435,64.350,64.350
mCh+,YL2-A,,99,0.990,1.538
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6435,64.350,64.350
R1,FSC-H,SSC-H,6435,64.350,64.350
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,4493,44.930,69.821
mCherry+/GFP+,YL2-A,BL1-A,32,0.320,0.497
mCherry-/GFP-,YL2-A,BL1-A,1560,15.600,24.242
mCherry+/GFP-,YL2-A,BL1-A,350,3.500,5.439
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6435,64.350,64.350
R2,BL1-A,YL2-A,72,0.720,72.727
R4,BL1-A,YL2-A,8,0.080,8.081
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,99,0.990,0.990
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,72,0.720,0.720
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3715,37.150,37.150
R3,BL1-A,YL2-A,3715,37.150,83.333
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,4458,44.580,44.580
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,8,0.080,0.080
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6435,64.350,64.350
LG1,,,99,0.990,0.990
GFP+,BL1-A,,1357,13.570,18.787
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,7223,72.230,72.230
mCh+,YL2-A,,1604,16.040,22.207
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,7223,72.230,72.230
R1,FSC-H,SSC-H,7223,72.230,72.230
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,1115,11.150,15.437
mCherry+/GFP+,YL2-A,BL1-A,306,3.060,4.236
mCherry-/GFP-,YL2-A,BL1-A,1071,10.710,14.828
mCherry+/GFP-,YL2-A,BL1-A,4731,47.310,65.499
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,7223,72.230,72.230
R2,BL1-A,YL2-A,1186,11.860,73.940
R4,BL1-A,YL2-A,134,1.340,8.354
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1604,16.040,16.040
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,1186,11.860,11.860
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,866,8.660,8.660
R3,BL1-A,YL2-A,866,8.660,63.817
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,1357,13.570,13.570
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,134,1.340,1.340
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,7223,72.230,72.230
LG1,,,1604,16.040,16.040
GFP+,BL1-A,,2208,22.080,79.453
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,2779,27.790,27.790
mCh+,YL2-A,,60,0.600,2.159
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,2779,27.790,27.790
R1,FSC-H,SSC-H,2779,27.790,27.790
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,2247,22.470,80.856
mCherry+/GFP+,YL2-A,BL1-A,12,0.120,0.432
mCherry-/GFP-,YL2-A,BL1-A,401,4.010,14.430
mCherry+/GFP-,YL2-A,BL1-A,119,1.190,4.282
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,2779,27.790,27.790
R2,BL1-A,YL2-A,47,0.470,78.333
R4,BL1-A,YL2-A,7,0.070,11.667
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,60,0.600,0.600
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,47,0.470,0.470
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,1805,18.050,18.050
R3,BL1-A,YL2-A,1805,18.050,81.748
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,2208,22.080,22.080
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,7,0.070,0.070
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,2779,27.790,27.790
LG1,,,60,0.600,0.600
GFP+,BL1-A,,15,0.150,15.625
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,96,0.960,0.960
mCh+,YL2-A,,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,96,0.960,0.960
R1,FSC-H,SSC-H,96,0.960,0.960
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,14,0.140,14.583
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,1.042
mCherry-/GFP-,YL2-A,BL1-A,81,0.810,84.375
mCherry+/GFP-,YL2-A,BL1-A,0,0.000,0.000
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,96,0.960,0.960
R2,BL1-A,YL2-A,0,0.000,N/A
R4,BL1-A,YL2-A,0,0.000,N/A
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,13,0.130,0.130
R3,BL1-A,YL2-A,13,0.130,86.667
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,15,0.150,0.150
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,96,0.960,0.960
LG1,,,0,0.000,0.000
GFP+,BL1-A,,677,6.770,35.408
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,1912,19.120,19.120
mCh+,YL2-A,,345,3.450,18.044
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,1912,19.120,19.120
R1,FSC-H,SSC-H,1912,19.120,19.120
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,670,6.700,35.042
mCherry+/GFP+,YL2-A,BL1-A,21,0.210,1.098
mCherry-/GFP-,YL2-A,BL1-A,311,3.110,16.266
mCherry+/GFP-,YL2-A,BL1-A,910,9.100,47.594
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,1912,19.120,19.120
R2,BL1-A,YL2-A,323,3.230,93.623
R4,BL1-A,YL2-A,7,0.070,2.029
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,345,3.450,3.450
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,323,3.230,3.230
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,563,5.630,5.630
R3,BL1-A,YL2-A,563,5.630,83.161
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,677,6.770,6.770
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,7,0.070,0.070
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,1912,19.120,19.120
LG1,,,345,3.450,3.450
GFP+,BL1-A,,5204,52.040,81.009
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6424,64.240,64.240
mCh+,YL2-A,,64,0.640,0.996
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6424,64.240,64.240
R1,FSC-H,SSC-H,6424,64.240,64.240
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,5283,52.830,82.238
mCherry+/GFP+,YL2-A,BL1-A,64,0.640,0.996
mCherry-/GFP-,YL2-A,BL1-A,885,8.850,13.776
mCherry+/GFP-,YL2-A,BL1-A,192,1.920,2.989
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6424,64.240,64.240
R2,BL1-A,YL2-A,18,0.180,28.125
R4,BL1-A,YL2-A,16,0.160,25.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,64,0.640,0.640
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,18,0.180,0.180
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4282,42.820,42.820
R3,BL1-A,YL2-A,4282,42.820,82.283
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,5204,52.040,52.040
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,16,0.160,0.160
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6424,64.240,64.240
LG1,,,64,0.640,0.640
GFP+,BL1-A,,1593,15.930,60.045
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,2653,26.530,26.530
mCh+,YL2-A,,107,1.070,4.033
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,2653,26.530,26.530
R1,FSC-H,SSC-H,2653,26.530,26.530
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,1620,16.200,61.063
mCherry+/GFP+,YL2-A,BL1-A,16,0.160,0.603
mCherry-/GFP-,YL2-A,BL1-A,726,7.260,27.365
mCherry+/GFP-,YL2-A,BL1-A,291,2.910,10.969
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,2653,26.530,26.530
R2,BL1-A,YL2-A,91,0.910,85.047
R4,BL1-A,YL2-A,6,0.060,5.607
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,107,1.070,1.070
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,91,0.910,0.910
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,1298,12.980,12.980
R3,BL1-A,YL2-A,1298,12.980,81.481
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,1593,15.930,15.930
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,6,0.060,0.060
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,2653,26.530,26.530
LG1,,,107,1.070,1.070
GFP+,BL1-A,,3344,33.440,71.960
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4647,46.470,46.470
mCh+,YL2-A,,152,1.520,3.271
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4647,46.470,46.470
R1,FSC-H,SSC-H,4647,46.470,46.470
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3340,33.400,71.874
mCherry+/GFP+,YL2-A,BL1-A,56,0.560,1.205
mCherry-/GFP-,YL2-A,BL1-A,702,7.020,15.107
mCherry+/GFP-,YL2-A,BL1-A,549,5.490,11.814
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4647,46.470,46.470
R2,BL1-A,YL2-A,105,1.050,69.079
R4,BL1-A,YL2-A,15,0.150,9.868
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,152,1.520,1.520
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,105,1.050,1.050
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2738,27.380,27.380
R3,BL1-A,YL2-A,2738,27.380,81.878
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3344,33.440,33.440
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,15,0.150,0.150
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4647,46.470,46.470
LG1,,,152,1.520,1.520
GFP+,BL1-A,,687,6.870,14.586
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4710,47.100,47.100
mCh+,YL2-A,,1016,10.160,21.571
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4710,47.100,47.100
R1,FSC-H,SSC-H,4710,47.100,47.100
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,620,6.200,13.163
mCherry+/GFP+,YL2-A,BL1-A,89,0.890,1.890
mCherry-/GFP-,YL2-A,BL1-A,537,5.370,11.401
mCherry+/GFP-,YL2-A,BL1-A,3464,34.640,73.546
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4710,47.100,47.100
R2,BL1-A,YL2-A,850,8.500,83.661
R4,BL1-A,YL2-A,42,0.420,4.134
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1016,10.160,10.160
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,850,8.500,8.500
All Events,BL1-A,,10000,100.000,100.000
